text,category,sentiment_score,sentiment
all these are good,examination,1,positive
Satisfactory,library_facilities,1,positive
very good.,library_facilities,1,positive
"it is quite good , depends upon teacher and their experience",teaching,1,positive
Yes,labwork,1,positive
Our university has lot of extracurricular going on and it helps us a lot.,extracurricular,1,positive
excellent,teaching,1,positive
"Teaching is excellent,but lecture delivery is not up to the mark.Punctuality is good",teaching,1,positive
I like the question pattern,examination,1,positive
ALL PRACTICAL WORK IS GOOD,labwork,1,positive
Not so good,examination,-1,negative
all are good,teaching,1,positive
I think electrotherapy practical should be of 2 hours.That's enough I think.Rest is fine.,labwork,0,neutral
everything is good,teaching,1,positive
"It's appreciable
Students who are having interest in co curricular activities, getting a good platform",extracurricular,1,positive
lab evaluations are pretty good .they help us a lot.,labwork,1,positive
its hard to find a computer working in lab. Students cannot save data in one single PC,labwork,-1,negative
very good,labwork,1,positive
content of the course is good,course_content,1,positive
They are extraordinary,extracurricular,1,positive
"Interaction is satisfying, Lecture delivery is Good, Punctuality is Excellent",teaching,1,positive
interaction is good but not with mostly male lecturers.punctuality is maintained by everyone but lecture delivery not peak quality.,teaching,0,neutral
"It's good 
Also depends on teacher's knowledge and student's interest",labwork,1,positive
teaching delivery is good .but it is better to reduce there speed of  lecture delivery to understand the student better,teaching,0,neutral
All lectures are giving their best to teach the students,teaching,1,positive
not good...... must be improve,labwork,-1,negative
it was quite great and unique,extracurricular,1,positive
We have a good library with all facalities.,library_facilities,1,positive
"exam pattern is good, very well marks distribution and paper checking varies from faculty to faculty.",examination,1,positive
As compared to other colleges and university our university is perfect in all the aspects,teaching,1,positive
it is ok,teaching,1,positive
our university is very good but in terms of interaction of teachers wd students is not at all fair because they interact wd only students understands his/her teaching they don't make remaining students to understand the topic,teaching,-1,negative
The depth of course is very much  deep. According to me its very essential,course_content,1,positive
Pretty Good,course_content,1,positive
they all are held in super,extracurricular,1,positive
coming to the examinations it is good,examination,1,positive
library facilty is good,library_facilities,1,positive
coming to the courses these are very well planned... and it all depends on the lectures.,course_content,1,positive
"I have never seen this type of examination,,,,,,,very GOOD  pattern",examination,1,positive
Again some of the faculties don't know how to behave otherwise it is good.,library_facilities,0,neutral
mid term percentage should be increased so that students get more choice to get success in the examinations,examination,0,neutral
Everything is fine. Every thing is taught in depth.Even a single point is elaborated enough to understand.,course_content,1,positive
"content is enough, we donot need more.",course_content,1,positive
Activities are not up to the mark as  advertisement.,extracurricular,-1,negative
Its nice .,course_content,1,positive
not much interested,extracurricular,0,neutral
"Exam pattern Very good, Marks distribution good but sometimes disappointing, paper checking OK",examination,1,positive
extracurricular activities are also good,extracurricular,1,positive
Lab evaluations are good.,labwork,1,positive
